Method,n,p,c.r,¦Ñ,time,prob,size,sensitivity,specficity,ReErr
COX-ASDAR,200,600,0.25,0.5,2.37606,0.99,5.98,0.996666667,1,0.231255861
LASSO,200,600,0.25,0.5,14.20161,0,43.06,1,0.937609428,0.248808412
ALASSO,200,600,0.25,0.5,12.90028,0.41,7.12,1,0.998114478,0.25803756
SCAD,200,600,0.25,0.5,18.7583,0.99,6.01,1,0.999983165,0.294488088
MCP,200,600,0.25,0.5,18.6659,0.97,6.03,1,0.999949495,0.296067449
APML0,200,600,0.25,0.5,0.5938,0.81,6.51,1,0.999141414,0.204618566
COX-ASDAR,250,600,0.25,0.5,3.53829,1,6,1,1,0.209374887
LASSO,250,600,0.25,0.5,20.21701,0,44.46,1,0.935252525,0.213059532
ALASSO,250,600,0.25,0.5,17.47343,0.53,7.09,1,0.998164983,0.239386475
SCAD,250,600,0.25,0.5,25.62714,1,6,1,1,0.274528717
MCP,250,600,0.25,0.5,25.82246,0.99,6.01,1,0.999983165,0.274937249
APML0,250,600,0.25,0.5,0.86284,0.76,6.58,1,0.999023569,0.187072206
COX-ASDAR,300,600,0.25,0.5,4.49538,0.99,6.01,1,0.999983165,0.207649325
LASSO,300,600,0.25,0.5,25.77723,0,48.39,1,0.928636364,0.181276939
ALASSO,300,600,0.25,0.5,21.60748,0.6,6.75,1,0.998737374,0.228540601
SCAD,300,600,0.25,0.5,32.09965,1,6,1,1,0.271813651
MCP,300,600,0.25,0.5,32.48124,1,6,1,1,0.271800621
APML0,300,600,0.25,0.5,1.14961,0.84,6.42,1,0.999292929,0.184204245
COX-ASDAR,350,600,0.25,0.5,5.45415,1,6,1,1,0.20355304
LASSO,350,600,0.25,0.5,30.87398,0,49.97,1,0.925976431,0.156779501
ALASSO,350,600,0.25,0.5,25.42281,0.6,6.67,1,0.998872054,0.222731368
SCAD,350,600,0.25,0.5,39.95853,1,6,1,1,0.266662408
MCP,350,600,0.25,0.5,42.57445,1,6,1,1,0.266652323
APML0,350,600,0.25,0.5,1.52346,0.77,6.4,1,0.999326599,0.186888958
COX-ASDAR,400,600,0.25,0.5,6.66874,1,6,1,1,0.207768255
LASSO,400,600,0.25,0.5,35.80444,0,50.33,1,0.92537037,0.139132858
ALASSO,400,600,0.25,0.5,29.2433,0.61,6.58,1,0.999023569,0.224437546
SCAD,400,600,0.25,0.5,46.05432,1,6,1,1,0.271877044
MCP,400,600,0.25,0.5,46.60878,0.99,6.01,1,0.999983165,0.272126421
APML0,400,600,0.25,0.5,2.0916,0.81,6.51,1,0.999141414,0.197885522
COX-ASDAR,450,600,0.25,0.5,7.50366,1,6,1,1,0.202598334
LASSO,450,600,0.25,0.5,39.05304,0,52.9,1,0.921043771,0.123293606
ALASSO,450,600,0.25,0.5,31.72391,0.68,6.53,1,0.999107744,0.214783893
SCAD,450,600,0.25,0.5,52.25882,1,6,1,1,0.266147819
MCP,450,600,0.25,0.5,53.07006,1,6,1,1,0.266147818
APML0,450,600,0.25,0.5,2.68417,0.8,6.37,1,0.999377104,0.197970733
COX-ASDAR,500,600,0.25,0.5,10.68837,1,6,1,1,0.193558485
LASSO,500,600,0.25,0.5,41.40191,0,52.18,1,0.922255892,0.116220055
ALASSO,500,600,0.25,0.5,34.13614,0.79,6.27,1,0.999545455,0.199115196
SCAD,500,600,0.25,0.5,61.29194,1,6,1,1,0.256058619
MCP,500,600,0.25,0.5,62.19223,1,6,1,1,0.256058618
APML0,500,600,0.25,0.5,3.8066,0.81,6.43,1,0.999276094,0.194899765
