Method,n,p,c.r,¦Ñ,time,prob,size,sensitivity,specficity,ReErr
COX-ASDAR,200,600,0.25,0.1,2.46557,0.99,5.95,0.9916667,1,0.2417206
LASSO,200,600,0.25,0.1,14.94838,0,42.41,1,0.9387037,0.2497408
ALASSO,200,600,0.25,0.1,13.55886,0.46,7.13,1,0.9980976,0.2724262
SCAD,200,600,0.25,0.1,20.0971,1,6,1,1,0.3020351
MCP,200,600,0.25,0.1,19.56726,0.99,6.01,1,0.9999832,0.3025505
APML0,200,600,0.25,0.1,0.71241,0.85,6.28,1,0.9995286,0.2024195
COX-ASDAR,200,600,0.25,0.2,2.37448,0.99,5.95,0.9916667,1,0.2351606
LASSO,200,600,0.25,0.2,14.94505,0,40.17,1,0.9424747,0.253996
ALASSO,200,600,0.25,0.2,13.51362,0.42,7.36,1,0.9977104,0.2693378
SCAD,200,600,0.25,0.2,19.63349,1,6,1,1,0.2941449
MCP,200,600,0.25,0.2,19.31807,0.99,6.02,1,0.9999663,0.2955334
APML0,200,600,0.25,0.2,0.63322,0.86,6.28,1,0.9995286,0.1905372
COX-ASDAR,200,600,0.25,0.3,2.36314,0.99,5.96,0.9933333,1,0.2307713
LASSO,200,600,0.25,0.3,14.70743,0,42.59,1,0.9384007,0.2508319
ALASSO,200,600,0.25,0.3,13.41616,0.41,7.15,1,0.998064,0.2577051
SCAD,200,600,0.25,0.3,19.44787,1,6,1,1,0.2905829
MCP,200,600,0.25,0.3,19.28066,0.99,6.01,1,0.9999832,0.2911343
APML0,200,600,0.25,0.3,0.56814,0.81,6.47,1,0.9992088,0.194674
COX-ASDAR,200,600,0.25,0.4,2.51118,1,6,1,1,0.2198072
LASSO,200,600,0.25,0.4,14.50226,0,40.53,1,0.9418687,0.2575894
ALASSO,200,600,0.25,0.4,13.22647,0.43,7.19,1,0.9979966,0.2594698
SCAD,200,600,0.25,0.4,19.46202,1,6,1,1,0.2859288
MCP,200,600,0.25,0.4,19.25599,0.99,6.01,1,0.9999832,0.2869842
APML0,200,600,0.25,0.4,0.58662,0.76,6.67,1,0.9988721,0.190799
COX-ASDAR,200,600,0.25,0.5,2.61149,0.99,5.98,0.9966667,1,0.2312559
LASSO,200,600,0.25,0.5,14.40373,0,43.06,1,0.9376094,0.2488084
ALASSO,200,600,0.25,0.5,13.04055,0.41,7.12,1,0.9981145,0.2580376
SCAD,200,600,0.25,0.5,19.50614,0.99,6.01,1,0.9999832,0.2944881
MCP,200,600,0.25,0.5,19.20144,0.97,6.03,1,0.9999495,0.2960674
APML0,200,600,0.25,0.5,0.66529,0.81,6.51,1,0.9991414,0.2046186
COX-ASDAR,200,600,0.25,0.6,2.3289,0.94,5.89,0.9783333,0.9999663,0.2499429
LASSO,200,600,0.25,0.6,14.05458,0,41.3,1,0.9405724,0.2569687
ALASSO,200,600,0.25,0.6,12.75509,0.35,7.51,1,0.9974579,0.2625841
SCAD,200,600,0.25,0.6,18.11273,0.99,6.01,1,0.9999832,0.2893802
MCP,200,600,0.25,0.6,18.25691,0.97,6.03,1,0.9999495,0.2920529
APML0,200,600,0.25,0.6,0.64025,0.72,6.58,1,0.9990236,0.1941824
COX-ASDAR,200,600,0.25,0.1,2.46557,0.99,5.95,0.9916667,1,0.2417206
LASSO,200,600,0.25,0.1,14.94838,0,42.41,1,0.9387037,0.2497408
ALASSO,200,600,0.25,0.1,13.55886,0.46,7.13,1,0.9980976,0.2724262
SCAD,200,600,0.25,0.1,20.0971,1,6,1,1,0.3020351
MCP,200,600,0.25,0.1,19.56726,0.99,6.01,1,0.9999832,0.3025505
APML0,200,600,0.25,0.1,0.71241,0.85,6.28,1,0.9995286,0.2024195
