Method,n,p,c.r,¦Ñ,prob,size,sensitivity,specficity,ReErr,time
COX-ASDAR,300,600,0.1,0.5,1,6,1,1,0.201082418,4.4676
LASSO,300,600,0.1,0.5,0,48.52,1,0.928417508,0.164484198,29.96383
ALASSO,300,600,0.1,0.5,0.55,6.79,1,0.998670034,0.228840318,25.0331
SCAD,300,600,0.1,0.5,1,6,1,1,0.269053157,34.05605
MCP,300,600,0.1,0.5,1,6,1,1,0.269053211,33.5256
APML0,300,600,0.1,0.5,0.75,6.52,1,0.999124579,0.185417959,1.11733
COX-ASDAR,300,600,0.2,0.5,1,6,1,1,0.205591376,4.26212
LASSO,300,600,0.2,0.5,0,48.32,1,0.928754209,0.17702643,26.68854
ALASSO,300,600,0.2,0.5,0.55,6.93,1,0.998434343,0.232900711,22.37641
SCAD,300,600,0.2,0.5,1,6,1,1,0.270570821,32.53027
MCP,300,600,0.2,0.5,1,6,1,1,0.270570537,32.50481
APML0,300,600,0.2,0.5,0.79,6.7,1,0.998821549,0.184461448,1.09438
COX-ASDAR,300,600,0.3,0.5,1,6,1,1,0.209389568,4.06233
LASSO,300,600,0.3,0.5,0,48.52,1,0.928417508,0.191744573,24.63793
ALASSO,300,600,0.3,0.5,0.53,6.99,1,0.998333333,0.234291616,20.78905
SCAD,300,600,0.3,0.5,1,6,1,1,0.272325182,31.28372
MCP,300,600,0.3,0.5,0.99,6.01,1,0.999983165,0.272920521,32.13374
APML0,300,600,0.3,0.5,0.81,6.68,1,0.998855219,0.194176994,1.1613
COX-ASDAR,300,600,0.4,0.5,0.98,5.99,0.996666667,0.999983165,0.219967612,3.85887
LASSO,300,600,0.4,0.5,0,46.86,1,0.931212121,0.210057762,22.91829
ALASSO,300,600,0.4,0.5,0.56,6.85,1,0.998569024,0.229834282,19.74156
SCAD,300,600,0.4,0.5,1,6,1,1,0.275166786,29.36726
MCP,300,600,0.4,0.5,0.98,6.02,1,0.99996633,0.27632769,29.67606
APML0,300,600,0.4,0.5,0.78,6.62,1,0.998956229,0.18491435,1.17787
COX-ASDAR,300,600,0.5,0.5,0.97,6,0.996666667,0.99996633,0.229048628,3.74249
LASSO,300,600,0.5,0.5,0,46.45,1,0.931902357,0.236293027,21.71564
ALASSO,300,600,0.5,0.5,0.49,7.23,1,0.997929293,0.242648946,19.28385
SCAD,300,600,0.5,0.5,1,6,1,1,0.280857906,27.18965
MCP,300,600,0.5,0.5,0.99,6.01,1,0.999983165,0.281402019,27.21125
APML0,300,600,0.5,0.5,0.81,6.56,1,0.999057239,0.195403017,1.25016
COX-ASDAR,300,600,0.6,0.5,0.97,5.97,0.993333333,0.999983165,0.241832079,3.45217
LASSO,300,600,0.6,0.5,0,44.56,1,0.935084175,0.26997347,20.29471
ALASSO,300,600,0.6,0.5,0.49,7.11,1,0.998131313,0.241460048,18.92489
SCAD,300,600,0.6,0.5,1,6,1,1,0.286901644,24.47891
MCP,300,600,0.6,0.5,0.99,6.01,1,0.999983165,0.287592864,23.78328
APML0,300,600,0.6,0.5,0.8,7.05,1,0.998232323,0.19668439,1.14964
